label,region
181,Area 5Ci (SPL) left
182,Area Id7 (Insula) left
183,Area s24 (sACC) left
184,Area 25 (sACC) left
185,CA (Hippocampus) left
186,Subiculum (Hippocampus) left
187,Area PF (IPL) left
188,Area 7P (SPL) left
189,Area Fp2 (FPole) left
190,Area Fp1 (FPole) left
191,Fastigial Nucleus (Cerebellum) left
192,VTM (Amygdala) left
193,Area p24ab (pACC) left
194,Area p24c (pACC) left
195,MF (Amygdala) left
196,IF (Amygdala) left
197,Area FG4 (FusG) left
198,Area FG3 (FusG) left
199,Dorsal Dentate Nucleus (Cerebellum) left
200,Ventral Dentate Nucleus (Cerebellum) left
201,Interposed Nucleus (Cerebellum) left
202,Area 2 (PostCS) left
